topic	tweet_id	tweet_url	tweet_text	class_label
COVID-19	1297844916031283200	http://twitter.com/user/status/1297844916031283200	الحكومة البرازيلية @jairbolsonaro توقع اتفاقية مع استرازينيكا @AstraZeneca لنقل التكنلوجيا و تصنيع تطعيم 💉AZD1222 (تطعيم أوكسفورد) الاتفاقية ضمنت للبرازيل حق تصنيع💉100مليون جرعة، و مستقبل صناعة دوائية 🗓متوقع بداية تصنيع التطعيم في ديسمبر2020 https://t.co/uIzOQY3782 (277) https://t.co/9zgjx1vUDe	0
COVID-19	1241050230910525441	http://twitter.com/user/status/1241050230910525441	غضب شعبي في قطر لتباطؤ الحكومة ضد فيروس كورونا    #حكومه_قطر_تنشر_كورونا https://t.co/B3Bxg7i4zR	1
COVID-19	1366702364191817735	http://twitter.com/user/status/1366702364191817735	https://t.co/nmy4E7GBBu تبلغ سعة مستشفى الأمير محمد بن فهد لأمراض الدم الوراثية ١٠٠ سرير، ويتكون من ٣٠ عيادة متنوعة إضافة للتنويم والعناية المركزة والعزل وقد افتتح اول مركز لتطعيم #لقاح_كورونا فيه مؤخرا وهو تحت إدارة التجمع الصحي الأول ب #المنطقة_الشرقية	0
COVID-19	1293904843057197059	http://twitter.com/user/status/1293904843057197059	الكيميتريل اللي بيترش لقاح فيروس كورونا وحـ,,ـروب الابادة القادمة - مايا صبحى جزء 2 https://t.co/hLpziB14ca via @YouTube	1
COVID-19	1293258125508849667	http://twitter.com/user/status/1293258125508849667	قال روسيا اعلنت عن لقاح مشان فيروس كورونا 🤔 حدا بيصدق المجرم بوتين !!؟؟	1
COVID-19	1293741103892639744	http://twitter.com/user/status/1293741103892639744	Bill Gates التقني الذي تحول إلى فاعل خير في مجال اللقاحات .. ما بين رأي من يراه أحد أكثر الشخصيات مصداقية لقيام مؤسسته باستثمارات ضخمة في اللقاحات والعلاجات والاختبارات وبين رأي من اتهمه بالتخطيط لحقن الرقائق الدقيقة في متلقي اللقاح 🤔 https://t.co/kLsA9Rjxoq	1
COVID-19	1367191225523142658	http://twitter.com/user/status/1367191225523142658	( نحن بطيئون ) اعطاء لقاح كورونا في السعوديه نصف/ ثانيه ٤٣٠١٨ لكل يوم ٢.٦ جرعه لكل ١٠٠ شخص لكي نطعم ٧٠% من سكان السعوديه نحتاج ١١١٢ يوم اي نتوقع نهايه التطعيم في مارس ٢٠٢٤ اي بعد ٣ سنوات صوره مع التحيه ل.... #وزاره_الصحه #كوفيد19	1
COVID-19	1261364335152181249	http://twitter.com/user/status/1261364335152181249	الرئيس الأمريكي يعرب عن أمله في التوصل إلى لقاح ضد فيروس كورونا (كوفيد-19) بحلول نهاية العام "وربما في وقت أقرب"، معلنا عن شراكة بين القطاعين العام والخاص لتطوير اللقاح المنتظر لمجابهة الفيروس تحت اسم "عملية الالتواء السريع". #قنا	0
COVID-19	1292567625071984640	http://twitter.com/user/status/1292567625071984640	ديڤيد آيك "قبل ان يفتعلوا فايروس #كورونا قد كان عندهم اللقاح اصلاً، ولكنهم تعمدوا التأخير للحصول على مصداقيه اكثر عند الشعوب" . . هذا ما كنت اقوله من البداية "العالم ضحية مؤامرة" .. اصحاب نظرية المؤامرة كانوا على حق منذ البداية، تحية عطرة لهم❗️❗️ https://t.co/uW3XoQNfZi	1
COVID-19	1298319002134032390	http://twitter.com/user/status/1298319002134032390	فإن لم تفلح كل المحاولات في ايجاد علاج او لقاح فعالين ضد فايروس(SARS_1).بعد اكثر من 17 سنة على ظهوره. فكيف سيفلحون في ايجاد لقاح ضد ڤايروس Covid_19 بهذه السرعة؟!! علما ان انتاج لقاح فعال يحتاج الكثير من الابحاث والوقت لاختبار فعاليته وامانه في نفس الوقت.	1
